ID_Cliente,Nome_Cliente,Produto,Quantidade,Preco_Unitario,Data_Venda
1,Eduardo Silva,Fone de Ouvido,2,1832.61,2024-02-29
2,João Pedro,Monitor,5,3545.96,2024-02-19
3,Diego Rocha,Tablet,4,4279.69,2024-01-14
4,Beatriz Mendes,Tablet,1,980.48,2024-01-14
5,Beatriz Mendes,Notebook,2,3045.48,2024-01-22
6,João Pedro,SSD,2,2974.43,2024-01-23
7,Carlos Lima,Monitor,1,4521.63,2024-01-02
8,Eduardo Silva,Fone de Ouvido,2,1644.76,2024-01-15
9,Eduardo Silva,HD Externo,1,2085.35,2024-01-25
10,Eduardo Silva,Monitor,1,2146.61,2024-02-24
11,Diego Rocha,Tablet,3,1945.06,2024-02-21
12,Isabela Ferreira,Mousepad,5,1964.93,2024-01-21
13,João Pedro,HD Externo,1,4198.16,2024-02-20
14,Ana Souza,Tablet,4,952.25,2024-01-24
15,Fernanda Alves,Teclado,5,4733.28,2024-02-24
16,Carlos Lima,HD Externo,2,2367.34,2024-02-10
17,João Pedro,Tablet,2,2061.98,2024-02-21
18,Isabela Ferreira,Mousepad,5,2261.82,2024-02-11
19,Isabela Ferreira,Mousepad,3,3225.1,2024-02-24
20,Helena Costa,Notebook,3,4513.55,2024-02-20
21,Ana Souza,Teclado,1,526.02,2024-01-27
22,Ana Souza,Mouse,3,2479.7,2024-02-22
23,Fernanda Alves,SSD,4,944.7,2024-01-06
24,João Pedro,Monitor,2,2707.65,2024-01-11
25,Eduardo Silva,Monitor,3,3374.83,2024-01-30
26,João Pedro,Mouse,1,4290.11,2024-02-25
27,Fernanda Alves,Cadeira Gamer,1,1525.18,2024-01-29
28,Eduardo Silva,SSD,5,2643.19,2024-01-01
29,Carlos Lima,Cadeira Gamer,3,3832.31,2024-01-21
30,Gabriel Santos,Cadeira Gamer,2,3134.41,2024-01-04
31,João Pedro,SSD,2,2834.95,2024-02-06
32,Eduardo Silva,Notebook,3,2457.48,2024-01-08
33,Isabela Ferreira,Teclado,2,3176.9,2024-01-18
34,Eduardo Silva,Teclado,1,306.5,2024-01-22
35,Beatriz Mendes,Cadeira Gamer,1,3413.14,2024-01-14
36,Eduardo Silva,SSD,4,1764.09,2024-02-01
37,Diego Rocha,Monitor,4,3624.09,2024-02-13
38,Ana Souza,SSD,5,3305.96,2024-02-15
39,Diego Rocha,Notebook,2,2161.29,2024-01-24
40,Fernanda Alves,Monitor,1,2642.97,2024-01-20
41,Carlos Lima,Teclado,4,4291.83,2024-01-28
42,Helena Costa,Cadeira Gamer,1,82.43,2024-01-29
43,Diego Rocha,Teclado,1,3100.74,2024-03-01
44,Ana Souza,Teclado,5,4134.28,2024-01-25
45,João Pedro,HD Externo,4,3728.38,2024-01-17
46,Fernanda Alves,Tablet,4,2570.95,2024-01-10
47,Helena Costa,Monitor,4,2266.02,2024-02-05
48,Beatriz Mendes,SSD,5,1742.42,2024-01-20
49,Beatriz Mendes,Cadeira Gamer,1,2598.81,2024-01-21
50,Eduardo Silva,Monitor,4,819.1,2024-02-10
51,Carlos Lima,Tablet,4,1437.0,2024-02-27
52,Beatriz Mendes,Fone de Ouvido,5,1329.55,2024-01-15
53,Carlos Lima,Fone de Ouvido,1,3236.95,2024-01-01
54,Fernanda Alves,Mouse,2,4388.76,2024-01-09
55,Isabela Ferreira,Tablet,3,2023.32,2024-01-28
56,Eduardo Silva,Mousepad,3,1789.68,2024-02-07
57,Carlos Lima,Cadeira Gamer,5,2978.55,2024-01-23
58,Eduardo Silva,Cadeira Gamer,1,1515.5,2024-02-22
59,Helena Costa,Tablet,3,2772.04,2024-01-04
60,Ana Souza,SSD,3,2987.22,2024-01-25
61,Fernanda Alves,Tablet,4,3397.17,2024-02-04
62,João Pedro,HD Externo,1,222.12,2024-01-10
63,Isabela Ferreira,Teclado,2,4880.2,2024-02-18
64,Ana Souza,Mouse,5,1193.68,2024-01-31
65,João Pedro,Mousepad,2,2538.83,2024-02-11
66,João Pedro,Mousepad,1,4539.43,2024-01-29
67,Gabriel Santos,SSD,4,4569.1,2024-01-06
68,Helena Costa,HD Externo,4,2318.54,2024-02-21
